,ID,Feature,Time
112,11,"(20.55352029707344, -26.289311256336983, 3.084466942316742, 6.262402280128313, 51.87319963674092)",340
113,12,"(15.272662565227112, -38.80953265570774, 2.710589767592395, 5.421180579481298, -3.211621344955117)",322
114,12,"(15.34442684391917, -38.613237517166496, 2.710589767592397, 5.421180579481298, -3.211621344955117)",323
115,12,"(15.348226375416944, -38.48110756786331, 2.7105897675923982, 5.421180579481298, -3.211621344955117)",324
116,12,"(15.348226375416944, -38.48110756786331, 2.7105897675923982, 5.421180579481298, -3.211621344955117)",325
117,12,"(15.219895939563273, -38.345178066794425, 2.710589767592402, 5.421180579481298, -3.211621344955117)",326
118,12,"(15.159530251868642, -38.14508336561623, 2.710589767592401, 5.421180579481298, -3.211621344955117)",327
119,12,"(15.159530251868642, -38.14508336561623, 2.710589767592401, 5.421180579481298, -3.211621344955117)",328
120,12,"(15.159530251868642, -38.14508336561623, 2.710589767592401, 5.421180579481298, -3.211621344955117)",329
121,12,"(15.299259280950018, -37.88462301743478, 2.710589767592401, 5.421180579481298, -3.211621344955117)",330
122,12,"(15.299259280950018, -37.88462301743478, 2.710589767592401, 5.421180579481298, -3.211621344955117)",331
123,12,"(15.299259280950018, -37.88462301743478, 2.710589767592401, 5.421180579481298, -3.211621344955117)",332
124,12,"(15.299259280950018, -37.88462301743478, 2.710589767592401, 5.421180579481298, -3.211621344955117)",333
125,12,"(15.299259280950018, -37.88462301743478, 2.710589767592401, 5.421180579481298, -3.211621344955117)",334
126,12,"(15.299259280950018, -37.88462301743478, 2.710589767592401, 5.421180579481298, -3.211621344955117)",335
127,12,"(15.299259280950018, -37.88462301743478, 2.710589767592401, 5.421180579481298, -3.211621344955117)",336
128,12,"(15.299259280950018, -37.88462301743478, 2.710589767592401, 5.421180579481298, -3.211621344955117)",337
129,12,"(15.299259280950018, -37.88462301743478, 2.710589767592401, 5.421180579481298, -3.211621344955117)",338
130,12,"(15.299259280950018, -37.88462301743478, 2.710589767592401, 5.421180579481298, -3.211621344955117)",339
131,12,"(15.299259280950018, -37.88462301743478, 2.710589767592401, 5.421180579481298, -3.211621344955117)",340
132,14,"(8.304570627387003, -5.894537782402779, 2.8653594321324842, 5.409324470446926, -1.5621347838792161)",410
133,14,"(8.304570627387003, -5.894537782402779, 2.8653594321324842, 5.409324470446926, -1.5621347838792161)",411
