,ID,Feature,Time
52,2a2,"(19.77529075815, -25.78010179539416, 2.297412363905136, 5.121193848800063, -4.730560471170434)",59
53,2a2,"(18.863929274091145, -25.964554746109073, 2.297412363905136, 5.121193848800063, -4.730560471170434)",60
54,2a2,"(18.316651055529675, -25.87463473741306, 2.297412363905136, 5.121193848800063, -4.730560471170434)",61
55,2a2,"(17.039948237600807, -25.78639217160024, 2.297412363905136, 5.121193848800063, -4.730560471170434)",62
56,2a2,"(16.310523612110273, -25.788069606073556, 2.297412363905136, 5.121193848800063, -4.730560471170434)",63
57,2a2,"(15.48992090718361, -25.78995671985895, 2.297412363905136, 5.121193848800063, -4.730560471170434)",64
58,2a2,"(14.486962073102426, -25.79226319372752, 2.297412363905136, 5.121193848800065, -4.730560471170434)",65
59,2a2,"(13.848925261752676, -25.884909024587294, 2.297412363905136, 5.121193848800068, -4.730560471170434)",66
60,2a2,"(12.754998106228292, -25.978603236472956, 2.297412363905136, 5.121193848800068, -4.730560471170434)",67
61,2a2,"(11.842798026587797, -25.798343883882495, 2.297412363905136, 5.121193848800068, -4.730560471170434)",68
62,2a2,"(11.022405112725444, -25.891409067266174, 2.297412363905136, 5.121193848800068, -4.730560471170434)",69
63,2a2,"(10.019446431389948, -25.89371554536544, 2.297412363905136, 5.121193848800068, -4.730560471170434)",70
64,2a2,"(9.381200046401379, -25.89518330015637, 2.297412363905136, 5.121193848800068, -4.730560471170434)",71
65,2a2,"(8.013529238097327, -25.898328493121205, 2.297412363905136, 5.121193848800068, -4.730560471170434)",72
66,2a2,"(6.919392636430042, -25.90084464239107, 2.297412363905136, 5.121193848800068, -4.730560471170434)",73
67,2a2,"(5.64289998500833, -25.903780141980718, 2.297412363905136, 5.121193848800068, -4.730560471170434)",74
68,2a2,"(4.913475612780183, -25.905457575871566, 2.297412363905136, 5.121193848800068, -4.730560471170434)",75
